pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,st_teff,st_rad,st_mass,sy_dist
OGLE-2016-BLG-1227L b,13.9,250.0,,,,,0.1,
Kepler-24 e,2.78,8.15,792.0,18.998355,5897.0,1.289,1.046,1156.81
Kepler-1065 b,3.73,13.4,1092.0,3.609308907,5635.0,0.93,0.94,1122.48
HD 132406 b,12.8,1887.90073758,,908.0,5766.0,1.34,0.973,70.7832
TOI-1260 c,2.76,13.2,651.0,7.493134,4227.0,0.672,0.679,73.5977
HD 149143 b,13.6,422.7139,,4.07182,5856.0,1.44,1.2,73.2801
HD 99492 b,5.44,25.5,,17.0503,4929.0,0.822539,0.85,18.2038
nu Oph c,12.0,7838.32346,,3180.6,4887.0,12.24,2.61,46.2107
75 Cet b,13.3,787.89662095,,696.62,4809.0,10.38,1.92,82.9613
gam Lib b,13.7,357.87478628,,414.88,4879.0,12.38,1.78,47.4017
HD 113337 b,13.1,1035.80277841,,317.58639,6667.33,1.530654,1.4,36.18
HD 28109 c,4.23,7.943,585.2,56.00819,6120.0,1.446,1.26,139.611
K2-350 b,1.54,2.99,1158.0,4.163873,5789.0,1.04,0.98,489.368
K2-342 b,2.03,4.78,861.0,11.561052,5920.0,1.09,1.01,208.357
EPIC 212587672 b,1.26,2.13,756.0,15.28078,6004.0,0.98,0.99,320.07
K2-332 b,2.2,5.48,266.0,17.70632,3315.0,0.28,0.27,123.202
K2-340 b,3.36,11.2,606.0,29.740451,5532.0,1.13,0.93,738.136
GJ 486 b,1.289,2.77,696.3,1.46712127,3317.0,0.3243,0.312,8.07426
TOI-6002 b,1.65,3.36,321.4,10.904821,3229.0,0.2432,0.2101,32.0266
HIP 12961 b,13.2,114.4188,,57.435,3901.0,0.65,0.69,23.371
HD 11755 b,12.8,1789.3829,,433.70001,4312.0,20.58,0.72,235.045
HD 29985 b,12.8,1739.47487151,,20608.14049,4678.0,0.574666,0.75,31.2707
HD 115954 b,12.6,2685.65003915,144.9,3700.0,5957.0,1.213,1.18,87.6437
HIP 97233 b,12.1,6098.17364511,,1062.26506,5020.0,5.34,1.81,102.275
HD 95872 b,13.0,1188.6842,,4375.0,5312.0,0.84,0.7,72.2195
OGLE-2015-BLG-0966L b,4.86,21.0,,,,,0.38,3300.0
Teegarden's Star c,1.02,1.05,209.0,11.416,3034.0,0.12,0.097,3.83078
TOI-1470 b,2.18,7.32,734.0,2.527093,3709.0,0.469,0.471,51.9503
HR 810 b,12.7,1970.5361234,,302.79999,6167.0,1.13,1.34,17.3181
HD 97658 b,2.12,8.3,751.0,9.4897116,5212.0,0.728,0.85,21.5618
LTT 3780 b,1.325,2.46,903.0,0.76837931,3358.0,0.38,0.381,21.9814
HIP 41378 c,2.56,7.08,696.5,31.70648,6226.0,1.35,1.14,106.289
HD 86728 b,3.03,9.43,,31.1515,5610.0,1.237,0.967,14.9202
HD 106315 c,4.35,15.2,886.0,21.05704,6327.0,1.29,1.07,109.353
K2-174 b,2.6,7.27,455.0,19.562307,4455.0,0.676,0.668401,99.9293
TOI-2068 b,1.821,3.97,520.62,7.768915,3710.0,0.535,0.559,52.9328
TOI-2180 b,11.32107051,875.61726129,348.0,260.79,5695.0,1.636,1.111,116.685
TOI-1899 b,11.09689089,212.94503269,378.0,29.090312,3926.0,0.607,0.632,128.438
HD 22946 d,2.607,26.57,546.0,47.42489,6169.0,1.117,1.098,62.7792
Qatar-3 b,12.285064,1369.8473,1681.0,2.5079204,6007.0,1.272,1.145,735.601
WASP-159 b,15.46842,174.8065,1850.0,3.840401,6120.0,2.11,1.41,715.383
WASP-7 b,14.90797,305.1168,1487.0,4.9546416,6400.0,1.432,1.276,162.303
HD 219134 g,3.28,10.80622,,94.2,4913.0,0.77,0.794,6.53127
tau Cet e,1.81,3.93,,162.87,5310.0,0.83,0.783,3.60304
Kepler-1465 b,1.77,3.78,668.0,31.8277111,4726.0,0.71,0.75,359.497
K2-150 b,2.0,4.66,,10.59357,3499.0,0.436,0.457,102.483
NSVS 14256825 b,12.3,4497.2945,,3225.0,40000.0,0.188,0.419,820.877
Kepler-1665 b,2.83910787,8.44,906.0,11.9548,5049.84,0.777785,0.842,335.515
KOI-4978 b,0.7,0.271,,0.941967,5050.28,0.966,0.859,936.341
Kepler-1332 b,1.37,2.45,728.0,11.87456832,5581.0,0.9,0.95,528.685
Kepler-1484 b,2.11,5.1,624.0,30.4549136,5730.0,0.92,0.94,2879.83
Kepler-1486 b,2.32,5.99,538.0,54.6495759,5965.0,1.12,1.08,1769.14
Kepler-1471 c,1.88,4.19,841.0,11.6044881,5533.0,1.166,0.934,978.678
Kepler-1537 b,1.18,1.76,1800.0,1.444453798,5079.0,0.77,0.81,517.292
Kepler-148 b,1.8,3.89,1284.0,1.729366,5272.0,0.851,0.86,791.163
Kepler-148 c,3.6,12.6,957.0,4.180043,5272.0,0.851,0.86,791.163
Kepler-1480 b,1.67,3.43,721.0,22.12679948,5156.0,0.81,0.85,500.892
Kepler-1481 b,1.23,2.04,797.0,5.94220998,4908.0,0.75,0.8,459.076
42 Dra b,13.0,1233.13,,479.1,4200.0,22.03,0.98,90.6545
61 Vir c,4.46,18.2,,38.021,5577.0,0.963,0.942,8.50332
TOI-5301 b,13.09208946,1182.32167404,1648.0,5.858858,6418.0,2.18,1.316,629.161
TOI-669 b,2.58606487,10.0,1124.85,3.945152,5597.0,0.9882,0.9245,142.867
70 Vir b,12.6,2380.45,,116.688,5495.0,1.89,1.09,17.9011
HIP 19976 b,4.94,21.61233168,,50.65905,4316.0,0.772319,0.67,40.2707
K2-151 b,1.49,2.83,566.0,3.835476,3695.0,0.45,0.47,69.4798
EPIC 220492298 b,0.99,0.937,,0.762406,5620.0,0.89,0.95,624.512
K2-290 b,3.06,10.9,1230.0,9.21165,6302.0,1.511,1.194,272.909
K2-138 g,3.013,4.32,445.0,41.96797,5356.3,0.863,0.935,202.585
K2-140 b,13.56286665,295.58041851,962.0,6.569188,5585.0,1.06,0.96,347.917
K2-141 c,7.0,8.0,695.0,7.7485,4570.0,0.681,0.708,61.8736
K2-141 b,1.51,4.97,2103.0,0.2803244,4570.0,0.681,0.708,61.8736
TOI-3364 b,12.22899794,530.77343969,1264.0,5.8768918,5706.0,1.419,1.186,277.899
KMT-2016-BLG-2605L b,14.0,245.0457018,,,,,0.064,6421.0
24 Sex b,13.4,632.46,,452.8,5098.0,4.9,1.54,72.0691
24 Sex c,13.9,273.32,,883.0,5098.0,4.9,1.54,72.0691
DENIS-P J082303.1-491201 b,11.9,9057.77,,246.36,,,0.075,20.77
HIP 63242 b,12.5,2917.56,,124.6,4830.0,10.275655,1.54,156.456
GJ 504 b,13.0,1271.3,510.0,,6234.0,1.26,1.22,17.5299
2MASS J01225093-2439505 b,11.209,7786.5,1600.0,,3530.0,0.36645,0.4,33.8281
RR Cae b,13.0,1334.886,,4343.5,3904.0,0.193119,0.44,21.1916
HAT-P-44 b,13.922,111.871,1108.0,4.301219,5295.0,0.949,0.942,347.85
K2-288 B b,1.9,4.27,226.36,31.393463,3341.0,0.32,0.33,65.6138
K2-243 c,2.01,4.7,801.0,24.94598,6570.0,1.39,1.29,266.864
EPIC 206024342 c,1.4,2.54,,0.911724,5724.0,1.1,0.928,369.888
HATS-43 b,13.22662,82.95363,1003.0,4.3888497,5099.0,0.812,0.837,362.273
HATS-45 b,14.414774,222.481,1518.0,4.1876244,6450.0,1.315,1.272,772.11
TOI-4602.01,2.550449,7.04,1380.27,3.9812091,6011.9,1.15664,1.11,63.0637
WASP-107 c,13.2,115.0,,1088.0,4425.0,0.657,0.683,64.7414
Kepler-1972 c,0.868,2.11,1215.0,11.3295,5818.0,1.384,1.12,287.339
HR 858 b,2.004,3.55,1552.0,3.585287,6354.0,1.258,1.204,31.964
WASP-127 b,14.694999,52.346601,1400.0,4.17806203,5620.0,1.333,0.95,159.507
WASP-136 b,15.46842,479.9233,1742.0,5.215357,6250.0,2.39014,1.41,275.587
LHS 1140 c,1.272,1.91,422.0,3.77794,3096.0,0.2159,0.1844,14.9861
TOI-178 e,2.207,3.86,600.0,9.961881,4316.0,0.651,0.65,62.699
TOI-2285 b,1.74,19.5,284.0,27.26955,3491.0,0.464,0.454,42.409
TOI-6029 b,14.39233122,519.64944544,1484.0,5.7987,6223.0,2.338,1.548,603.119
CoRoT-8 b,6.39,69.92,870.0,6.21229,5080.0,0.802,0.89,322.037
K2-261 b,9.26982704,68.96876432,1036.0,11.6334681,5537.0,1.669,1.1,213.283
K2-266 c,0.705,0.29013072,664.5,7.814,4285.0,0.703,0.686,77.5586
K2-114 b,10.59248676,638.83509807,701.4,11.390931,5039.0,0.87,0.832,475.758
K2-308 b,9.916,70.6,1213.76,3.38628,6100.0,1.24,1.09,1314.53
TOI-1410 c,5.63,27.0,,47.56,4635.0,0.7558,0.7941,72.7512
TOI-1249 b,3.2710301,11.9,726.89,13.079151,5497.0,0.9785,1.0062,139.49
2MASS J19383260+4603591 b,13.4,603.877,,406.0,29564.0,0.203,0.48,396.332
HD 134606 e,1.33,2.34,,4.3203,5576.0,1.158,1.046,26.7909
TOI-3807 b,18.49481816,330.54154328,1646.0,2.8989727,5772.0,1.468,1.181,421.745
TOI-2525 b,8.67575106,26.69758619,512.97,23.2856,5096.0,0.785,0.849,395.398
HATS-11 b,18.03,263.7989,1596.0,3.619188,6563.0,1.54,1.33,944.603
HATS-36 b,12.92,1022.14128,1203.0,4.175186,5950.0,1.1,1.1,856.436
HATS-9 b,13.85,266.02371,1746.0,1.915291,5599.0,1.56,1.1,638.7
HD 188641 b,11.9,9333.03117156,,14583.81038,5897.32,1.94492,1.07,64.3399
WASP-36 b,14.874343,750.39663,1733.0,1.53736596,5959.0,0.985,1.081,386.346
K2-3 b,2.078,5.11,501.3,10.0546535,3951.0,0.550856,0.53,44.0727
K2-348 c,2.67,7.61,655.0,12.550171,5077.0,0.85,0.83,201.856
K2-43 b,4.51,18.5,939.3,3.471149,3840.6,0.563,0.556799,182.536
K2-77 b,2.4996027,603.877,806.0,8.2000844,4970.0,0.783982,0.851503,141.731
Kepler-105 b,2.53,10.8,1418.0,5.4122034,6082.0,1.026,0.991,459.223
Kepler-25 c,5.217,15.2,934.0,12.7207,6354.0,1.34,1.165,243.249
NGTS-33 b,18.38272835,1153.71711741,1991.0,2.827972,7437.0,1.4757,1.6,437.855
HATS-15 b,12.385945,689.6911,1505.0,1.74748753,5311.0,0.922,0.871,1139.55
GJ 3341 b,2.46,6.6,,14.207,3526.0,0.439,0.47,23.619
GJ 581 e,1.38,2.48,,3.1481,3500.0,0.302,0.295,6.2981
G 264-012 b,1.39,2.5,587.0,2.30538,3326.0,0.305,0.297,16.009
EPIC 212624936 c,2.3,5.9,,11.811437,5765.0,0.93,1.0,561.929
K2-104 b,1.79,3.86,798.0,1.9741954,3712.0,0.48,0.51,189.289
EPIC 201615463 c,1.22,1.98,,3.80464,5942.5,1.599388,1.073,476.882
EPIC 206032309 b,1.01,1.01,,2.87814,3489.0,0.37344,0.221,161.365
EPIC 212424622 b,2.17,5.35,,18.0983,5782.33,1.2247,1.106,611.804
TOI-1244 b,2.467,6.6,714.86,6.400316483,4722.0,0.7231,0.7528,102.551
TOI-1301.01,2.477,6.7,737.36,6.096407209,4820.4,0.731699,0.77,90.8693
TOI-1772.01,2.905,8.78,877.67,8.054246874,5583.0,0.995254,0.99,97.7562
GJ 3293 d,2.67,7.6,,48.1345,3466.0,0.404,0.42,20.1903
BD-08 2823 b,3.61,12.7132,,5.6,4816.0,0.71,0.5,41.3342
BD-10 3166 b,14.1,187.5197,,3.48777,5393.0,0.91,1.47,84.4069
GJ 720 A b,3.77,13.64,401.0,19.466,3837.0,0.56,0.57,15.5575
BD-13 2130 b,12.5,3108.3774,,714.29999,4545.0,19.17,2.12,925.214
HD 215152 d,1.48,2.801,,10.86499,4935.0,0.73,0.77,21.5974
AB Pic b,12.3,4290.5,,,5285.0,0.999394,0.9,50.0475
CoRoT-7 d,4.31,17.142,,8.966,5250.0,0.8389,0.915,159.906
HD 113337 c,12.1,6299.67685515,,5429.93477,6667.33,1.530654,1.4,36.18
EPIC 246851721 b,11.780659,953.49,1401.0,6.180235,6202.0,1.586,1.317,372.632
K2-128 b,1.42,2.6,,5.675819,4469.51,0.777569,0.711248,114.637
K2-123 b,2.76,8.05,338.0,30.951524,4035.0,0.59,0.62,161.555
K2-132 b,14.5717,155.7367,1586.0,9.1751,4840.0,3.85,1.08,609.818
K2-113 b,12.14,410.0007,1098.0,5.817685,5660.0,1.24,1.04,635.722
KMT-2021-BLG-1105L b,13.6,413.1769291,,,,,0.63,4540.0
OGLE2-TR-L9 b,18.046,1430.175,2034.0,2.4855335,6933.0,1.53,1.52,1627.63
HD 105618 c,11.9,8419.59232984,,77114.07158,5671.0,1.27399,1.01,70.0837
TOI-837 b,9.16894621,120.45696625,995.3,8.3249113,5995.0,1.052,1.142,142.488
PDS 70 b,30.48848,953.49,1204.0,43500.0,3972.0,1.26,0.76,113.064
GJ 357 b,1.2,1.84,518.0,3.9306,3505.0,0.337,0.342,9.44181
WASP-124 b,13.89916,190.698,1400.0,3.37265,6050.0,1.02,1.07,448.637
K2-338 b,1.03,1.08,783.0,3.850614,4558.0,0.63,0.66,156.951
K2-187 b,1.2,1.87,1815.0,0.77401,5438.0,0.83,0.966999,330.916
HD 164604 b,12.3,4544.9462201,,641.472,4684.0,0.77124,0.77,39.3633
KIC 8540376 c,2.4,6.35,,75.2,6474.0,1.26,1.04,1072.3
KOI-217 b,12.442,,1046.0,3.90512,5545.0,0.86,0.95,914.699
Kepler-603 c,6.5,34.5,401.0,127.9075774,5808.0,1.01,1.01,1539.63
Kepler-275 c,3.38,11.4,875.0,16.088134,6165.0,1.383,1.189,2034.25
Kepler-170 c,2.86,8.55,702.0,16.665863,5679.0,1.035,1.066,738.657
Kepler-598 c,3.02420941,9.4,367.0,86.4945,5245.0,0.900316,0.9,681.086
Kepler-139 d,1.695,4.65807623,972.0,7.305699922,5622.0,1.045,1.078,391.038
Kepler-655 b,2.71,7.8,588.0,46.4063358,6170.0,1.24,1.15,752.562
K2-331 b,1.79,3.86,909.0,9.398977,5994.0,1.06,1.1,211.43
Kepler-1819 b,3.90351256,14.5,760.0,16.48690033,6090.0,1.071,1.173,1363.19
HD 158259 e,2.34,6.08,,7.951,5801.89,1.21,1.08,27.0498
TOI-1736 c,12.5,2800.0,249.0,571.25,5636.0,1.4286,1.0373,88.9482
WASP-3 b,15.91678,772.3269,2020.0,1.84683,6400.0,1.44,1.62,231.161
TOI-4153 b,16.11851425,365.50266805,1669.0,4.6174141,6860.0,1.605,1.572,423.84
TOI-125 d,2.93,13.6,638.1,19.98,5320.0,0.848,0.859,111.059
TOI-178 b,1.152,1.5,1040.0,1.914558,4316.0,0.651,0.65,62.699
HD 11506 d,12.3,4068.2036096,,26500.0,6123.0,1.24,1.22,51.261
HR 858 c,1.979,3.8,1309.0,5.973865,6354.0,1.258,1.204,31.964
TOI-1836 b,8.00321222,38.45723725,966.0,20.380799,6380.0,1.577,1.307,191.649
TOI-5076 b,3.48935569,16.14568308,550.0,23.443162,4780.0,0.844,0.789,82.857
WASP-132 b,10.09929161,136.0305582,682.0,7.1335164,4686.0,0.758,0.789,122.91
TOI-620 b,3.76,13.6,603.6,5.0988179,3708.0,0.55,0.577,33.0231
CFBDSIR J145829+101343 b,12.4,3337.1,370.0,10037.5,580.5,,0.021,23.1
CoRoT-14 b,12.22,2415.4,1952.0,1.51214,6035.0,1.21,1.13,1744.6
LP 714-47 b,4.7,30.8,700.0,4.052037,3950.0,0.584,0.59,52.616
TOI-1075 b,1.791,9.95,1323.0,0.6047328,3875.0,0.581,0.604,61.4592
K2-154 c,2.07,4.94,552.0,7.95486,4097.0,0.63,0.65,129.356
55 Cnc c,8.51,54.4738,,44.3989,5172.0,0.943,0.905,12.5855
55 Cnc e,1.875,7.99,1958.0,0.7365474,5172.0,0.943,0.905,12.5855
55 Cnc f,7.59,44.812,,259.88,5172.0,0.943,0.905,12.5855
TOI-2459 b,2.9531,9.03,445.01,19.104718,4195.0,0.6751,0.66,36.6113
TOI-251 b,2.74,317.83,1041.19,4.93777,5875.0,0.881,1.036,99.523
GJ 180 c,2.41,6.4,,24.329,3371.0,0.413049,0.43,11.9407
HD 136118 b,12.3,4164.18778851,,1187.59765,6097.0,1.67754,1.18,51.4359
HD 153557 b,4.77,20.34101805,,7.29903,4837.0,0.745171,0.79,17.9412
HD 155918 b,2.67,7.62788177,,1.87567,5771.84,1.01906,1.03,27.561
HD 156098 b,4.12,15.89142035,,21.85849,6419.19,2.75716,1.29,48.249
GJ 3138 d,3.23,10.5,,257.8,3717.0,0.5,0.681,28.4712
HD 134060 c,5.91,29.29,,1291.5646,5966.0,1.164285,1.095,24.0125
GJ 433 b,2.33,6.043,,7.3705,3461.0,0.5,0.48,9.06456
GJ 433 d,2.14,5.223,,36.059,3461.0,0.469376,0.48,9.06456
CoRoT-30 b,11.309881,921.707,,9.06005,5650.0,0.91,0.98,1032.23
OGLE-2018-BLG-0532L b,2.37,6.228,,,,,0.195,773.0
OGLE-2018-BLG-0383L b,2.41,6.4,,,,,0.1,7700.0
KMT-2021-BLG-0322L b,12.7,2034.1018048,,,,,0.62,6600.0
TOI-1680 b,1.466,2.75,404.0,4.8026345,3225.0,0.2106,0.1798,37.2209
HD 5278 b,2.45,7.8,943.0,14.339156,6203.0,1.194,1.126,57.5846
HD 10180 d,3.45,11.75,,16.357,5911.0,1.109,1.06,38.9607
HD 102272 b,12.9,1570.0802,,127.58,4790.0,10.3,1.45,347.097
HD 42618 b,3.89,14.4,337.0,149.61,5727.0,0.999,1.015,24.3358
OGLE-2018-BLG-0962L b,13.6,425.89006538,,,,,0.54,6500.0
HD 110014 b,12.4,3524.59,,835.477,4445.0,20.9,2.17,100.758
HD 131496 b,13.4,572.094,,896.0,4846.0,4.44,1.34,131.849
GJ 3929 b,1.09,1.75,568.0,2.616235,3384.0,0.32,0.313,15.8095
HAT-P-46 b,14.392,156.684,1458.0,4.463129,6120.0,1.396,1.284,290.736
TOI-1855 b,18.49481816,360.09958513,1701.0,1.36414864,5359.0,1.041,0.987,176.833
K2-215 b,2.12381238,5.16,,8.269648,5704.0,0.974398,0.999987,403.964
K2-179 b,2.51267885,6.86,,5.172191,5015.0,0.768067,0.824345,190.81
HD 37605 b,13.2,854.9627,,55.01292,5329.0,0.91,0.94,46.7864
HD 40307 d,3.04,9.5,541.0,20.432,4956.0,0.716684,0.77,12.9363
HD 75289 b,14.2,155.7367,1260.0,3.50927,6117.0,1.23,1.29,29.1158
K2-346 b,2.26,5.73,450.0,26.201446,4801.0,0.7,0.71,105.58
K2-335 b,2.21,5.52,949.0,12.283211,6222.0,1.33,1.23,557.993
K2-344 b,1.59,3.15,722.0,3.35585,4374.0,0.49,0.51,75.1691
HD 46375 b,10.0,71.8,,3.023573,5285.0,0.914196,0.92,29.5529
HD 7924 c,2.72,7.86,583.6,15.299,5075.0,0.7821,0.832,16.9922
G 264-012 c,1.76,3.75,387.0,8.0518,3326.0,0.305,0.297,16.009
HD 23127 b,13.5,485.32641,,1211.17,5843.0,1.49,1.208,93.8555
HD 233832 b,13.5,565.7374,,2058.0,4981.0,0.68,0.71,58.742
HD 238090 b,2.52,6.89,469.6,13.671,3933.0,0.57,0.578,15.2354
HD 30856 b,13.5,491.68301,,847.0,4895.0,4.4,1.17,131.199
HD 212301 b,14.2,162.0933,,2.24571,6239.0,1.16,1.55,54.2304
HD 196050 b,12.9,1493.7935129,,1392.0,5879.0,1.42,1.27,50.6742
HD 215497 c,13.0,111.23994245,,566.0,5113.0,0.901084,0.92,40.5468
HD 28254 b,13.0,1207.7479466,,1333.0,5664.0,1.48,1.1,55.2884
TOI-1227 b,9.57246952,66.5,243.77,27.36397,3072.0,0.56,0.17,100.641
TOI-500 d,6.35,33.12,,26.233,4440.0,0.678,0.74,47.3924
K2-400 b,1.163,1.67,,3.865053,3578.0,0.382,0.374,62.3804
DMPP-3 A b,1.41,2.58,854.0,6.6732,5138.0,0.91,0.87,45.23
HD 13808 b,3.35,11.2,,14.1815,5035.0,0.781,0.771,28.2305
HD 4208 b,13.9,257.4423,,832.97,5717.0,0.846,0.883,34.1937
GJ 876 d,2.51,6.83,,1.93778,3293.74,0.3,0.32,4.67517
nu Oct A b,13.3,762.7881768,,417.0,4860.0,5.81,1.61,21.1999
HD 69830 b,3.17,10.2,,8.667,5385.0,0.886947,0.86,12.5591
HD 180053 b,13.3,697.31902,,213.72,5131.0,4.06,1.75,137.043
WTS-2 b,15.277867,355.9696,2000.0,1.0187068,5000.0,0.752,0.82,1030.76834437
HAT-P-18 b,11.153,62.61,852.0,5.508023,4803.0,0.749,0.77,161.4
TOI-4145 A b,13.30506009,136.66621501,1074.0,4.0664428,5281.0,0.859,0.905,205.387
CoRoT-1 b,16.7,327.35,1898.0,1.5089557,5950.0,1.11,0.95,787.909
K2-331 c,2.72,7.85,673.0,22.996591,5994.0,1.06,1.1,211.43
GJ 667 C g,1.99,4.6,,256.2,3350.0,,0.33,7.24396
HATS-68 b,13.809488,410.0007,1741.0,3.5862202,6147.0,1.748,1.351,603.955
HD 134606 f,2.24,5.63,,26.915,5576.0,1.158,1.046,26.7909
HATS-17 b,8.709393,425.25654,814.0,16.254611,5846.0,1.091,1.131,400.331
K2-358 b,2.68,7.65,888.0,11.2510285,5650.0,0.91,0.93,480.307
HD 181342 b,13.2,807.2882,,564.1,4945.0,4.71,1.69,120.391
HD 181433 b,2.4,6.3566,,9.3743,4918.0,0.79,0.63,26.8762
HD 187123 c,13.4,632.46,,3810.0,5790.0,1.15043,1.04,45.9548
K2-407 c,1.36,2.42,,9.22453,5563.0,0.927,0.881,218.376
HD 73526 b,13.1,978.9164,,188.3,5601.0,1.53,1.14,97.2396
TOI-406 c,1.32,2.08,584.0,3.307441,3392.0,0.41,0.408,31.0597
K2-354 b,1.56,3.05,543.0,3.793306,3669.0,0.41,0.43,91.722
WASP-183 b,16.47723,159.55066,1111.0,4.1117771,5440.0,0.885304,0.784,325.377
bet Pic b,18.49485,3727.8093857,1612.0,8617.50952,8038.68,1.54416,1.795,19.7442
PDS 70 c,22.86636,635.66,995.0,,3972.0,1.063158,0.76,113.064
2MASS J12073346-3932539 b,12.9,1589.15,1250.0,,2825.0,0.21887,0.024,64.308
HD 202772 A b,17.317905,323.23311,2132.0,3.308958,6272.0,2.591,1.72,161.498
K2-148 d,1.64,3.33,,9.7579,4079.0,0.632,0.65,124.458
GJ 876 e,3.92,14.6,,124.26,3271.0,0.3,0.32,4.67517
CoRoT-20 b,9.41556,1366.669,1024.0,9.24285,4947.5,1.37037,1.14,844.061
HD 63433 c,2.58229101,17.2,622.31,20.543847,5688.0,0.9169,1.001,22.4035
K2-268 e,1.33,2.33,801.0,6.131243,5106.0,0.78,0.84,327.783
NGTS-25 b,11.46678726,203.09235207,1101.0,2.823093,5321.0,0.86,0.91,521.233
EPIC 201427007 b,1.5,2.86,,0.72091,5633.0,0.94,0.93,706.391
TOI-1064 c,2.651,2.5,634.0,12.226574,4734.0,0.726,0.748,68.0726
HD 125612 b,13.2,945.22168242,,557.69994,5900.0,1.07,1.05,57.6207
K2-111 c,3.33,11.08,,15.6805,5775.0,1.25,0.84,200.394
K2-165 c,1.55409035,3.03,,4.382745,5185.0,0.803827,0.834847,134.591
HD 205739 b,13.6,435.41,,279.8,6176.0,1.33,1.22,92.5087
HD 20868 b,13.7,397.2875,,380.85001,4802.0,0.76,0.39,47.7223
HD 211810 b,14.0,212.9461,,1558.0,5652.0,1.13,1.03,64.6353
Kepler-1293 b,0.97,0.871,1183.0,5.57654784,6241.0,1.28,1.18,1028.16
Kepler-238 c,2.39,6.3,1146.0,6.155557,5751.0,1.43,1.229,1798.75
Kepler-382 c,1.59,3.15,882.0,12.162701,5600.0,0.945,1.002,935.446
Kepler-364 b,1.55,3.02,753.0,25.745718,6108.0,1.284,1.076,891.462
TOI-3919 b,12.31866979,1233.17421916,1198.0,7.433234,6100.0,1.319,1.208,604.591
KIC 9663113 b,4.6,19.2,264.0,572.3847,6065.0,1.03,0.98,1594.74
Kepler-104 c,3.13,7.14430805,668.0,23.668205,5711.0,1.349,0.818,400.785
Kepler-1046 b,1.71,3.57,786.0,14.37508035,5913.0,1.04,1.04,721.534
Kepler-1385 b,0.85,0.543,1423.0,2.88879862,5732.0,1.29,1.15,688.795
Kepler-1304 b,2.29,5.86,715.0,16.1288853,5259.0,0.81,0.85,2176.08
4 UMa b,12.6,2511.48007211,,270.27,4415.0,18.11,1.234,73.4603
HD 21411 b,9.52,65.9,,84.288,5605.0,0.825605,0.89,29.1328
K2-348 b,3.26,10.7,908.0,4.688418,5077.0,0.85,0.83,201.856
TOI-3837 b,10.87271128,187.51876013,1178.0,11.88865,5905.0,1.2,0.89,311.705
TOI-561 d,2.615,13.33,600.0,25.71268,5342.0,0.843,0.806,85.799
EPIC 212587672 c,2.32,5.99,658.0,23.228555,6004.0,0.98,0.99,320.07
HD 73526 c,13.3,715.09,,379.1,5633.0,1.53,1.014,97.2396
K2-339 b,1.92,4.35,508.0,19.507428,4857.0,0.72,0.74,360.36
HD 73534 b,13.7,353.42696,,1750.0,4917.0,2.58,1.16,83.3321
GJ 411 b,1.45,2.69,349.83,12.9394,3719.0,0.3685,0.3899,5.675773
GJ 687 b,4.32,17.2,,38.142,3413.0,0.4183,0.4,4.54939
GJ 887 b,1.88,4.2,468.0,9.262,3688.0,0.4712,0.489,3.29
HD 64114 b,4.41,17.8,,45.791,5676.0,0.882858,0.95,31.5262
HD 220842 b,13.1,1010.6994,,218.47,5960.0,1.41647,1.13,64.6498
HD 221585 b,13.5,511.7063,,1173.0,5620.0,1.850575,1.19,55.8535
HD 238914 b,12.8,1906.98,,4100.0,4769.0,12.73,1.47,519.452
HD 73267 c,12.8,1630.77755632,,17071.78045,5317.0,0.957509,0.93,50.4093
HD 20781 b,1.21,1.93,,5.3135,5256.0,0.833609,0.7,35.9715
HD 67087 c,12.9,1540.0,,2374.0,6330.0,1.55,1.36,76.5217
HD 65216 c,13.4,645.1949,,5370.0,5612.0,0.886644,0.874,35.1205
HD 290327 b,13.3,772.3269,,2443.0,5505.0,0.95,0.84,56.433
HD 151450 b,6.94,38.45723725,,21.89288,6091.98,1.17184,1.14,43.6002
HD 4313 b,13.4,612.45841,,356.21,4943.0,5.14,1.63,136.308
HD 330075 b,14.3,152.5584,990.0,3.38773,5000.0,0.84,0.47,45.2989
HD 31253 b,14.1,197.0546,,466.0,6130.0,1.75,1.7,58.1438
HD 31527 b,3.22,10.47,,16.5535,5898.0,1.073694,0.96,38.4473
HD 206893 b,14.01122587,8899.195396,1429.2,9350.0,6500.0,1.31116,1.32,40.7583
COCONUTS-2 b,12.44196858,2542.627256,434.0,402000000.0,3406.0,0.388,0.37,10.8864
KELT-20 b,19.514869,1074.90106,2262.0,3.4741085,8720.0,1.565,1.76,136.426
HD 158259 b,1.28228,2.22,1462.0,2.178,5801.89,1.21,1.08,27.0498
K2-122 b,1.16,1.65,769.0,2.2193023,4009.0,0.59,0.63,72.0444
LP 890-9 c,1.367,25.3,272.0,8.457463,2850.0,0.1556,0.118,32.4298
Kepler-1239 b,2.9,8.75,1183.0,5.19104016,6564.0,1.57,1.4,2140.6
TOI-5232 b,12.778238,743.71847238,1772.0,4.0966692,6212.0,1.785,1.389,609.388
K2-318 b,1.66,3.39,456.0,7.01,3851.0,0.552,0.561,147.866
K2-154 b,1.99,4.62,715.0,3.67626,4097.0,0.63,0.65,129.356
HD 40307 b,1.83,4.0,910.0,4.3123,4956.0,0.716684,0.77,12.9363
